open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,stock_id,date
225.49,228.55,221.06,227.64,227.600906749098,42118826.0,0.0,1.0,3,2023-02-15
215.78,230.488,213.66,229.71,229.670551262236,67547350.0,0.0,1.0,3,2023-02-14
215.38,220.48,209.62,217.88,217.842582861068,47491862.0,0.0,1.0,3,2023-02-13
216.9,220.7764,208.11,212.65,212.613481023527,55073675.0,0.0,1.0,3,2023-02-10
226.06,230.2,221.2,223.37,223.331640048085,52387578.0,0.0,1.0,3,2023-02-09
223.87,228.78,220.0801,222.05,222.01186673536,55965122.0,0.0,1.0,3,2023-02-08
213.82,222.59,211.5,221.73,221.691921689851,66414961.0,0.0,1.0,3,2023-02-07
208.06,215.7,207.86,210.89,210.853783273227,45219709.0,0.0,1.0,3,2023-02-06
210.0,217.4499,207.89,211.0,210.963764382621,42936595.0,0.0,1.0,3,2023-02-03
210.0,219.49,207.0,217.09,217.052718529967,56427580.0,0.0,1.0,3,2023-02-02
196.91,211.92,196.11,209.43,209.394034003091,66047704.0,0.0,1.0,3,2023-02-01
191.695,196.87,189.5,195.37,195.336448566031,49801658.0,0.0,1.0,3,2023-01-31
199.5,201.4,191.5,191.62,191.58709256397,48861115.0,0.0,1.0,3,2023-01-30
194.62,206.28,194.05,203.65,203.615026618581,54214198.0,0.0,1.0,3,2023-01-27
197.01,201.66,192.78,198.02,197.985993474154,48953542.0,0.0,1.0,3,2023-01-26
189.125,193.7,185.8,193.23,193.196816074189,44953711.0,0.0,1.0,3,2023-01-25
188.27,194.95,188.2,192.65,192.616915679203,49620410.0,0.0,1.0,3,2023-01-24
180.64,192.45,178.175,191.93,191.897039326807,65516259.0,0.0,1.0,3,2023-01-23
170.11,178.56,168.25,178.39,178.3593645887,56496712.0,0.0,1.0,3,2023-01-20
170.36,171.97,167.31,167.65,167.621208998798,45293160.0,0.0,1.0,3,2023-01-19
176.67,178.73,172.82,173.77,173.740157994161,43962355.0,0.0,1.0,3,2023-01-18
168.99,177.28,168.99,177.02,176.989599862614,51110216.0,0.0,1.0,3,2023-01-17
162.78,169.22,161.65,168.99,168.960978876868,44728706.0,0.0,1.0,3,2023-01-13
161.0,166.37,154.92,165.11,165.081645200069,55140906.0,0.0,1.0,3,2023-01-12
158.3951,160.28,155.63,160.01,159.982521037266,35328493.0,0.0,1.0,3,2023-01-11
155.07,159.6199,154.72,159.09,159.062679031427,38410126.0,0.0,1.0,3,2023-01-10
152.84,160.56,151.41,156.28,156.25316160055,50423056.0,0.0,1.0,3,2023-01-09
144.74,150.1,140.34,148.59,148.564482225657,40504362.0,0.0,1.0,3,2023-01-06
144.91,145.64,141.4795,142.65,142.625502318393,38916811.0,0.0,1.0,3,2023-01-05
145.67,148.53,142.41,147.49,147.464671131719,43132360.0,0.0,1.0,3,2023-01-04
148.51,149.96,140.96,143.15,143.125416452001,40127658.0,0.0,1.0,3,2023-01-03
143.34,146.2899,142.33,146.14,146.114902970977,31048983.0,0.0,1.0,3,2022-12-30
144.02,146.83,142.27,146.03,146.004921861583,35492324.0,0.0,1.0,3,2022-12-29
139.27,142.62,138.84,140.36,140.335895586467,35106645.0,0.0,1.0,3,2022-12-28
150.74,151.0,140.56,141.21,141.185749613601,46490226.0,0.0,1.0,3,2022-12-27
151.96,153.39,148.83,152.06,152.033886312897,34932563.0,0.0,1.0,3,2022-12-23
160.935,161.38,148.82,153.39,153.363657908295,56504527.0,0.0,1.0,3,2022-12-22
161.14,166.27,161.02,165.01,164.981662373347,32502538.0,0.0,1.0,3,2022-12-21
160.64,163.1,158.52,160.85,160.822376781728,40325979.0,0.0,1.0,3,2022-12-20
165.72,166.09,161.45,162.54,162.512086553323,35403877.0,0.0,1.0,3,2022-12-19
168.642,170.41,164.1,165.71,165.681542160398,47823193.0,0.0,1.0,3,2022-12-16
171.46,173.2,167.0,169.52,169.490887858492,47854210.0,0.0,1.0,3,2022-12-15
179.87,182.52,174.2,176.74,176.709647947793,49688810.0,0.0,1.0,3,2022-12-14
185.31,187.9,177.11,180.72,180.688964451314,65658876.0,0.0,1.0,3,2022-12-13
170.37,175.38,167.97,175.35,175.319886656363,45732780.0,0.0,1.0,3,2022-12-12
636.68,654.22,633.9001,650.32,650.32,801536.0,0.0,1.0,4,2023-05-05
632.13,639.34,629.85,635.05,635.05,614042.0,0.0,1.0,4,2023-05-04
633.94,644.65,630.72,634.74,634.74,582898.0,0.0,1.0,4,2023-05-03
632.87,637.5199,628.53,634.05,634.05,738054.0,0.0,1.0,4,2023-05-02
635.0,639.21,634.03,635.2,635.2,469549.0,1.8386,1.0,4,2023-05-01
630.86,637.34,626.522,636.86,635.021880081871,823066.0,0.0,1.0,4,2023-04-28
621.76,631.3,612.77,629.24,627.423873100394,1126984.0,0.0,1.0,4,2023-04-27
613.72,615.13,606.17,609.1,607.342001629664,843347.0,0.0,1.0,4,2023-04-26
626.47,626.47,605.76,605.76,604.011641614161,1404899.0,0.0,1.0,4,2023-04-25
640.83,641.31,626.93,627.38,625.569241474994,1431396.0,0.0,1.0,4,2023-04-24
635.51,637.14,627.8,634.47,632.63877815461,982051.0,0.0,1.0,4,2023-04-21
625.36,639.875,625.36,633.57,631.741375755223,1692932.0,0.0,1.0,4,2023-04-20
624.76,627.95,616.88,623.6,621.800151397568,2266075.0,0.0,1.0,4,2023-04-19
644.69,648.27,636.7601,643.33,641.473206219688,910261.0,0.0,1.0,4,2023-04-18
638.74,642.1,632.28,639.04,637.195588115942,1527346.0,0.0,1.0,4,2023-04-17
665.41,672.64,659.3701,666.2,664.277198301892,645933.0,0.0,1.0,4,2023-04-14
662.33,670.88,659.85,665.41,663.489478417985,1118638.0,0.0,1.0,4,2023-04-13
669.01,672.0,653.69,654.66,652.770505314194,897284.0,0.0,1.0,4,2023-04-12
669.51,672.735,658.97,659.77,657.865756715159,787448.0,0.0,1.0,4,2023-04-11
649.93,661.99,645.49,661.64,659.73035947833,688657.0,0.0,1.0,4,2023-04-10
658.3,665.2,655.32,657.12,655.223405205853,679595.0,0.0,1.0,4,2023-04-06
663.66,664.78,657.31,663.9,661.983836614569,850433.0,0.0,1.0,4,2023-04-05
675.88,681.6,666.061,668.68,666.750040469092,877943.0,0.0,1.0,4,2023-04-04
